科目,出題回,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
東洋医学臨床論,28,"次の文で示す症例について、陽性となる可能性が最も高い理学検査はどれか。
「45歳の男性。2か月前から左腰下肢に痛みを感じる。前かがみで痛みが増強する。左足底部の知覚鈍麻、アキレス腱反射は減弱。間欠跛行はみられない。」",FNSテスト,ボンネットテスト,ゲンスレンテスト,アリス徴候,2,
東洋医学臨床論,28,咬筋の過緊張による顎関節症に対する局所治療穴として最も適切なのはどれか。,頬　車,上　関,地　倉,顴　髎,1,
東洋医学臨床論,28,高齢者に対する評価法とその目的との組合せで正しいのはどれか。,バーセルインデックス　-----　認知症の評価,改訂PGCモラールスケール　-----　歩行機能の評価,MMSE　------　ADLの評価,ハミルトン評価　---------　抑うつ状態の評価,4,
東洋医学臨床論,28,徒手検査法の陽性所見と罹患筋への治療穴との組合せで適切なのはどれか。,トンプソンテスト　-----　豊　隆,トムゼンテスト　-----　支　正,足関節内反ストレステスト　-----　照　海,グラスピングテスト　-----　膝陽関,4,
東洋医学臨床論,28,"次の文で示す患者の罹患筋に対する治療穴として最も適切なのはどれか。
「20歳の男性。ラグビーで反復性の肩関節脱臼を起こしている。先日、脱臼して整復されたが、肩の外側にしびれと筋の脱力感による挙上制限がみられた。」",巨　骨,秉　風,臂　臑,天　窓,3,
東洋医学臨床論,28,"「71歳の男性。100ｍの歩行で左下腿後面に絞扼痛が出現、休息で軽快。仰臥位で両下肢を挙上させ30秒足趾を屈曲させると患側足底部が白くなる。SLRテスト陰性。」
身体診察で患側下肢にみられる所見はどれか。",ケンプ徴候陽性,足底部の触覚鈍麻,アキレス腱反射減弱,足背動脈拍動減弱,4,
東洋医学臨床論,28,"「71歳の男性。100ｍの歩行で左下腿後面に絞扼痛が出現、休息で軽快。仰臥位で両下肢を挙上させ30秒足趾を屈曲させると患側足底部が白くなる。SLRテスト陰性。」
本症例で、症状のある筋の支配神経近傍に刺鍼し、低周波鍼通電療法を行う場合、最も適切な経穴はどれか。",陰　廉,委　中,足三里,陽陵泉,2,
東洋医学臨床論,28,"「26歳の男性。主訴は腹痛と下痢。IT企業でストレスの多い仕事に従事している。1日数回排便する。器質的な病変はない。」
下痢の病態で最も適切なのはどれか。",消化管からの分泌亢進,消化管運動の亢進,消化管知覚閾値の上昇,消化管支配の交感神経機能亢進,2,
東洋医学臨床論,28,"「26歳の男性。主訴は腹痛と下痢。IT企業でストレスの多い仕事に従事している。1日数回排便する。器質的な病変はない。」
本症例の病証として最も適切なのはどれか。",脾気虚,脾腎陽虚,肝脾不和,腎気虚,3,
東洋医学臨床論,28,"「18歳の男性。主訴は頭痛。7日前に薄着で体が冷え、その日の夜から悪寒、発熱、頭痛を自覚し、風邪薬を飲んでも完治しない。咳と痰はなく、汗をかきやすい。舌は薄白苔、脈は浮緩。」
病証として最も適切なのはどれか。",肺陰虚証,手の太陰経脈病証,手の少陰経脈病証,風寒表虚証,4,
東洋医学臨床論,28,"「18歳の男性。主訴は頭痛。7日前に薄着で体が冷え、その日の夜から悪寒、発熱、頭痛を自覚し、風邪薬を飲んでも完治しない。咳と痰はなく、汗をかきやすい。舌は薄白苔、脈は浮緩。」
本症例に対する治療として適切なのはどれか。",背部兪穴を瀉して去風する。,肺経の要穴を使って陰液を補う。,膀胱経の要穴を使って経脈を疏通する。,肺経の要穴を補して表を閉じる。,4,
東洋医学臨床論,29,特発性三叉神経痛の好発部位に対する局所治療穴として最も適切なのはどれか。,陽　白,四　白,印　堂,魚　腰,2,
東洋医学臨床論,29,"「54 歳の男性。数日前から左耳に痛みがあり、しばらくしてから外耳道に水疱が出現した。同側の表情筋の麻痺と聴力の低下を伴っている。」
罹患筋を広範囲に刺激するのに最も適切な治療穴はどれか。",糸竹空,巨　髎,顴　髎,翳　風,4,
東洋医学臨床論,29,"次の文で示す症例の罹患筋に対する刺鍼部位として最も適切なのはどれか。
「20 歳の男性。右利き投手。オーバースロー投球時のコッキング期に右肩峰の前下方に痛みが出る。インピンジメントテスト陽性。」",秉　風,肩　貞,天　宗,肩外兪,1,
東洋医学臨床論,29,"次の文で示す症例で罹患神経の絞扼部位に対する刺鍼部位として最も適切なのはどれか。
「33歳の女性。主訴は右手掌の母指から環指橈側にかけての痛みとしびれ。妊娠中に発症し、出産後、家事と育児で症状が増悪し、物がつまみにくくなった。」",肘頭と上腕骨外側上顆の間,肘頭と上腕骨内側上顆の間,橈側手根隆起と尺側手根隆起の間,豆状骨と有鈎骨鈎の間,3,
東洋医学臨床論,29,"次の文で示す症例の神経絞扼部に対する刺鍼部位として最も適切なのはどれか。
「28 歳の女性。職業は鍼灸師。回外位で左前腕にカバンを引っかけて持つことが多く、内側上顆から肘窩内側縁に沿った張り感とともに左手掌橈側にしびれを自覚する。最近、左手で艾を捻ることが困難である。」",孔最と少海の間,曲池と曲沢の間,間使と大陵の間,手三里と支正の間,1,
東洋医学臨床論,29,下肢の末梢神経障害,伏　兎　---　陰　市,委　中　---　承　山,地　機　---　三陰交,足三里　---　下巨虚,4,
東洋医学臨床論,29,L4‒L5間の後外側への椎間板ヘルニアによる下肢の痛みに対する局所治療穴として最も適切なのはどれか。,承　筋,陰　谷,地　機,足三里,4,
東洋医学臨床論,29,"次の文で示す症例の拘縮がみられる筋に対する局所治療穴として最も適切なのはどれか。
「73歳の女性。主訴は左股関節の痛み。3か月前から痛みがひどくなった。エックス線検査にて軟骨下骨の硬化、骨棘形成がみられた。トーマステストは陽性、トレンデレンブルグ徴候とエリーテストは陰性。」",居　髎,衝　門,秩　辺,髀　関,2,
東洋医学臨床論,29,"次の文で示す症例の原因となる筋への治療穴として最も適切なのはどれか。
「13 歳の男子。サッカーをしており、最近になり膝前下部の運動時痛と腫脹が認められた。」",髀　関,箕　門,豊　隆,三陰交,1,
東洋医学臨床論,29,スポーツ障害と罹患筋に対する局所治療穴の組合せで適切なのはどれか。,シンスプリント　---　三陰交,ジャンパー膝　---　足三里,フォアハンドテニス肘　---　曲　池,野球肩　---　雲　門,1,
東洋医学臨床論,29,過活動膀胱の患者に対する治療で、仙髄排尿中枢を介した治療穴として最も適切なのはどれか。,水　分,三焦兪,腎　兪,中　髎,4,
東洋医学臨床論,29,「72歳の男性。主訴は頻尿。難聴がある。トイレは我慢できるが、夜間に少量の尿失禁があり、前立腺肥大症と診断された。以前から腰が冷えてだるい。舌は淡、脈は弱を認める。」病態として最も適切なのはどれか。,溢流性尿失禁,切迫性尿失禁,反射性尿失禁,腹圧性尿失禁,1,
東洋医学臨床論,29,"次の文で示す症例に対する生活指導で最も適切なのはどれか。
「32 歳の女性。頸は細く、なで肩。長時間のパソコン作業で肩こりに続き、持続性の鈍痛が後頭部に出現。仕事を休むほどではない。悪心・嘔吐、光過敏は伴わない。」",パソコン作業時は肘掛けの使用を控える。,後頸部の筋群の筋力トレーニングを行わせる。,入浴はシャワーのみで済ませる。,現在より高さのある枕を使用させる。,2,
東洋医学臨床論,29,"「54 歳の男性。数日前から左耳に痛みがあり、しばらくしてから外耳道に水疱が出現した。同側の表情筋の麻痺と聴力の低下を伴っている。」
最も考えられる疾患はどれか。",ベル麻痺,脳幹梗塞,聴神経腫瘍,ラムゼイ・ハント症候群,4,
東洋医学臨床論,29,鍼施術で気胸を起こすリスクが最も高い経穴はどれか。,天　宗,身　柱,附　分,三焦兪,3,
東洋医学臨床論,29,"「24歳の女性。月経開始から2日間ほど月経痛が激しく、吐き気がある。腰痛もあるが、特に下腹部痛が強く憂うつになる。不正性器出血や月経周期の異常はなく、器質的な障害もない。」
下腹部痛の原因に最も関与するのはどれか。",ヒスタミン,アドレナリン,オキシトシン,プロスタグランジン,4,
東洋医学臨床論,29,"「45 歳の女性。主訴は倦怠感。 1か月前より強くなった。寒がりで、動作が緩慢である。食欲低下、便秘、月経過多、徐脈を認める。」
最もみられる身体所見はどれか。",体重減少,頸部腫脹,圧痕が残る浮腫,深部反射亢進,2,
東洋医学臨床論,29,次の文で示す患者の病証で最も適切なのはどれか。「51 歳の男性。 2 日前に強い寒冷環境で長時間の作業をした後、肩に固定性の痛みとこわばりが生じた。舌は淡、脈は緊を認める。」,行　痹,痛　痹,着　痹,熱　痹,2,
東洋医学臨床論,29,「45 歳の女性。主訴は倦怠感。 1か月前より強くなった。寒がりで、動作が緩慢である。食欲低下、便秘、月経過多、徐脈を認める。」病証として最も適切なのはどれか。,腎陰虚,胃気虚,脾陽虚,風寒犯肺,3,
東洋医学臨床論,29,「29 歳の女性。主訴は不眠。寝付きが悪い。起床時には四肢がだるい。足の冷えがあり、生ものを食べると下痢をしやすい。舌は淡白で胖大、脈は濡を認める。」病証として最も適切なのはどれか。,肝血虚,心気虚,脾陽虚,腎気虚,3,
東洋医学臨床論,29,次の文で示す患者の病証に対する治療方針として最も適切なのはどれか。「65歳の男性。 1か月前から腰下肢のだるさがあり、最近では耳鳴りが断続的に起こる。舌は紅、脈は細数を認める。」,肺陰を補う。,腎陰を補う。,肝陽を補う。,脾陽を補う。,2,
東洋医学臨床論,29,次の文で示す患者の病証に対する治療方針として最も適切なのはどれか。「36歳の女性。主訴は咳嗽。せき込むと粘稠で白色の痰を多量に喀出する。緩解と増悪を繰り返しながら 3 年が経過している。子どもの頃から食が細く、痩せている。舌は淡、白膩苔、脈は滑を認める。」,風寒の邪を取り除く。,瘀血を取り除く。,肺陰を補う。,運化を高める。,4,
東洋医学臨床論,29,次の文で示す患者の病証に対する治療方針として最も適切なのはどれか。「36歳の男性。主訴は焦燥感。仕事の重圧によりイライラする。最近は動悸があり、寝付きが悪い。顔が赤く、便秘である。舌尖は紅、脈は数有力を認める。」,肝陰を補う。,心火を瀉す。,脾陽を補う。,肺の痰湿を除く。,2,
東洋医学臨床論,29,次の文で示す患者の病証に対する治療方針として最も適切なのはどれか。「43 歳の男性。主訴は咳嗽。仕事が忙しくなると発作的にせき込む。痰が切れにくく、咽頭部に違和感があり、胸脇部が張る。舌は紅、脈は弦数を認める。」,腎陰を補う。,肺気を補う。,肝火を抑える。,痰濁を除く。,3,
東洋医学臨床論,29,「72歳の男性。主訴は頻尿。難聴がある。トイレは我慢できるが、夜間に少量の尿失禁があり、前立腺肥大症と診断された。以前から腰が冷えてだるい。舌は淡、脈は弱を認める。」治療方針として最も適切なのはどれか。,陰液を補う。,陽気を補う。,精の漏出を防ぐ。,痰を取り除く。,2,
東洋医学臨床論,29,次の文で示す患者に対し、八会穴を用いて治療を行う場合、膈兪とともに選穴するのはどれか。「47 歳の女性。 2か月前からめまいがあり、頭部 MRI 検査では異常はなかった。疲れやすく、風邪を引きやすい。爪の色が薄く、経血量の減少がある。舌は淡、脈は弱を認める。」,大　杼,膻　中,陽陵泉,懸　鍾,2,
東洋医学臨床論,29,次の文で示す病証に対する配穴の組合せで最も適切なのはどれか。「50 歳の女性。 3週間前に旅行で歩き過ぎて右殿部から大腿外側部のつっぱり感と痛みを自覚した。足先のしびれ、こむら返り、目の疲れも気になる。舌は淡白、脈は細を認める。」,肝　兪　---　足臨泣,腎　兪　---　束　骨,脾　兪　---　陥　谷,膀胱兪　---　然　谷,1,
東洋医学臨床論,29,「29 歳の女性。主訴は不眠。寝付きが悪い。起床時には四肢がだるい。足の冷えがあり、生ものを食べると下痢をしやすい。舌は淡白で胖大、脈は濡を認める。」病証に対する治療穴で最も適切なのはどれか。,太　衝,太　白,神　門,太　渓,2,
東洋医学臨床論,29,次の文で示す患者の経脈病証を原絡配穴法で治療する場合、主証で選穴するのはどれか。「28歳の男性。 2か月前から上歯痛や鼻出血、腹鳴がみられるようになり、昨日から舌根部や心窩部が痛み、食事をすると嘔吐するようになった。」,公　孫,太　白,衝　陽,豊　隆,3,
東洋医学臨床論,29,次の文で示す患者の病証に対し、八脈交会穴の配穴に基づき、手関節近傍の経穴に刺鍼した。もう一か所の刺鍼部位として最も適切なのはどれか。「50 歳の男性。主訴は上腹部痛。胸やけと悪心もある。」,足内側、第1中足骨底内側の遠位陥凹部,足内側、内果尖の下方1寸,足背、第4・第5中足骨底接合部の遠位,足外側、外果尖の直下,1,
東洋医学臨床論,29,脾の運化作用を介して湿を除くことにより治療できる痛みはどれか。,脹　痛,重　痛,刺　痛,隠　痛,2,
東洋医学臨床論,29,五臓の特徴的な症状と治療穴の組合せで正しいのはどれか。,五更泄瀉　---　太　衝,梅核気　---　太　淵,陽　萎　---　大　陵,多　夢　---　神　門,4,
東洋医学臨床論,29,次の文で示す患者の病証に対して十二刺の刺法に基づき治療する場合、刺鍼部位の指標となるのはどれか。「足先の強い冷えを感じ、ときには腰まで冷えが上ってくる。下痢をしやすい。」,大腿動脈拍動部,膝窩動脈拍動部,後脛骨動脈拍動部,足背動脈拍動部,3,
東洋医学臨床論,29,"「24歳の女性。月経開始から2日間ほど月経痛が激しく、吐き気がある。腰痛もあるが、特に下腹部痛が強く憂うつになる。不正性器出血や月経周期の異常はなく、器質的な障害もない。」
痛みの原因となっている器官名と同名の経穴に刺鍼する場合、その取り方として正しいのはどれか。",関元の外方5分,関元の外方2寸,中極の外方2寸,中極の外方3寸,4,
東洋医学臨床論,30,緊張型頭痛に対する局所治療について罹患筋と治療穴の組合せで正しいのはどれか。,側頭筋　-----　風　池,僧帽筋　-----　翳　風,後頭筋　-----　玉　枕,頭半極筋　---　脳　空,3,
東洋医学臨床論,30,顎関節症患者に対すて下顎骨の前方移動の作用がある筋を刺激する場合、最も適切なのはどれか。,下　関,牽　正,大　迎,太　陽,1,
東洋医学臨床論,30,頭部の神経痛と局所治療穴の組合せで正しいのはどれか。,三叉神経痛（第1枝）　-----　太　陽,大後頭神経痛　-----　完　骨,小後頭神経痛　-----　天　柱,大耳介神経痛　-----　瘈　脈,4,
東洋医学臨床論,30,"次の文で示す症例の障害神経根の部位で最も適切なのはどれか。
「55歳の男性。頸部の神経根症状により左肩関節外転筋力低下、左上腕二頭筋反射減弱、左上腕外側の知覚鈍麻がみられる。」",C3-C4間,C4-C5間,C6-C7間,C7-Th1間,2,
東洋医学臨床論,30,"「26歳の女性。なで肩で痩せている。主訴は右上肢全体の持続的なだるさ。腱反射は正常、スパーリングテスト、エデンテスト、ライトテストは陰性、アドソンテストは陽性。」
罹患筋への局所治療穴として適切なのはどれか。",屋　翳,気　戸,胸　郷,天　鼎,4,
東洋医学臨床論,30,"次の文で示す症例の治療対象となる筋で最も適切なのはどれか。
「40歳の女性。運動不足解消のためテニスを始めたところ、バックハンドストロークの際に肘の痛みを自覚するようになった。」",短橈側手根伸筋,尺側手根屈筋,腕橈骨筋,円回内筋,1,
東洋医学臨床論,30,"次の分で示す症例に対する局所治療穴として最も適切なのはどれか。
「38歳の女性。家事や子どもの世話が忙しく、最近になって手関節に痛みを感じるようになった。アイヒホッフテスト陽性。」",内　関,合　谷,列　欠,陽　池,3,
東洋医学臨床論,30,"次の文で示す症例で罹患神経に対する治療穴として最も適切なのはどれか。
「35歳の女性。妊娠に伴い母指から中指にかけてしびれｒが出現し、母指と示指で輪を作ろうとすると楕円形になる。」
",小　海,手五里,天　井,内　関,4,
東洋医学臨床論,30,"次の文で示す病態により生じたスポーツ外傷・障害に対する検査法はどれか。
「膝関節の屈伸動作時に、ある組織が大腿骨外側上顆で繰り返し摩擦を生じる一種の使いすぎ症候群である。」",エリーテスト,グラスピングテスト,マクマレーテスト,膝内反ストレステスト,2,
東洋医学臨床論,30,スポーツ障害と罹患筋に対する治療穴の組合せで最も適切なのはどれか。,上腕二頭筋長頭腱炎　-----　肩　髎,肩インピンジメント症候群　-----　肩外兪,ジャンパー膝　-----　鶴　頂,シンスプリント　-----　蘭　尾,3,
東洋医学臨床論,30,"次の文で示す症例に対する罹患筋への局所治療穴として適切なのはどれか。
「17歳の男性。陸上部で長距離走をしている。ランニングを開始すると下腿前方に痛みと腫れが出るが、数十分の安静で症状が消失する。近医で前方コンパートメント症候群と言われた。」",小腸の下合穴,膀胱の下合穴,三焦の下合穴,胆の下合穴,1,
東洋医学臨床論,30,サルコぺニアの症状はどれか。,知人の名前が思い出せなくなってきた。,油っこいものを食べることが減ってきた。,歩くスピードが遅くなってきた。,夜中のトイレの回数が多くなってきた。,3,
東洋医学臨床論,30,"次の文で示す症例で、鍼灸治療の効果を評価するのに最も適切なのはどれか。
「65歳の女性。1年前から生活に充実感がなく、気持ちが沈む。倦怠感、食欲不振を伴う。幻覚や記憶障害はない。」",改訂長谷川式簡易知能評価スケール,タイムドアップアンドゴーテスト,バーセル・インデックス,ハミルトン評価尺度,4,
東洋医学臨床論,30,末梢性顔面神経麻痺で過誤再生による後遺症はどれか。,兎　眼,ワニの涙,味覚脱失,聴覚過敏,2,
東洋医学臨床論,30,"「26歳の女性。なで肩で痩せている。主訴は右上肢全体の持続的なだるさ。腱反射は正常、スパーリングテスト、エデンテスト、ライトテストは陰性、アドソンテストは陽性。」
進行した際の症状として最も適切なのはどれか。",レイノー現象,筋トーヌス亢進,筋線維束れん縮,手指巧緻運動障害,1,
東洋医学臨床論,30,"「62歳の女性。主訴は腰痛。立位で腰椎の前弯が強く、骨盤が前傾している。膝関節のアライメントの異常はみられなかった。」
伸長し弱化している筋として最も適切なのはどれか。",大殿筋,大腰筋,大腿直筋,大腿筋膜張筋,1,
東洋医学臨床論,30,"「62歳の女性。主訴は腰痛。立位で腰椎の前弯が強く、骨盤が前傾している。膝関節のアライメントの異常はみられなかった。」
伸長し弱化している筋への局所治療穴として最も適切なのはどれか。",居　髎,衝　門,髀　関,胞　肓,4,
東洋医学臨床論,30,"次の文で示す病証として適切なのはどれか。
「32歳の女性。主訴は眼精疲労。最近、月経血の量が少なく色も薄くなった。緊張すると手がふるえ、夜中にこむら返りがおこりやすい。舌は淡白、脈は濇を認める。」",心気虚,腎精不足,脾不統血,肝血虚,4,
東洋医学臨床論,30,"次の文で示す病証で最も適切なのはどれか。
「58歳の女性。昨夜から陰部掻痒感を自覚。最近イライラすることが多く、飲酒量が増えた。舌辺に黄厚膩苔、脈は左関上の浮数滑を認める。」",胃陰虚,胃　熱,肝経湿熱,肝陽上亢,3,
東洋医学臨床論,30,"「25歳の男性。3か月前から膨満感を伴う上腹部痛、嘔気が続く。症状はストレスで増悪、噯気で軽快する。下痢はない。舌は薄黄苔、脈は弦を認める。
病証として最も適切なのはどれか。",肝胃不和,脾胃不和,脾腎陽虚,脾胃湿熱,1,
東洋医学臨床論,30,"「60歳の男性。主訴は足のむくみ。近医で乏尿ではないが、尿量が少ないと指摘された。残尿感はない。下痢しやすい。舌は胖嫩、歯痕、白厚膩苔、脈は滑を認める。」
治療すべき臓腑はどれか。",脾,心,肝,膀　胱,1,
東洋医学臨床論,30,"次の文で示す病症に対する治療方針として最も適切なのはどれか。
「43歳の女性。主訴は膝の痛み。1週間雨天が続き、症状が増悪している。昨日てんぷらを食べてから軟便である。舌は膩苔、脈は滑を認める。」",逆気を降ろす。,気をめぐらせる。,気穴を補う。,痰湿を除く。,4,
東洋医学臨床論,30,"次の文で示す病証に対する治療方針で最も適切なのはどれか。
「22歳の女性。主訴は月経痛。経血量は少なく、血塊が混じることがある。小腹部の冷痛と拒按がみられ、足が冷える。舌根に白厚苔、脈は沈遅を認める。」",肝鬱を抑える。,寒邪を除く。,脾の統血を促す。,肝腎の精血を補う。,2,
東洋医学臨床論,30,"次の文で示す病証に対する治療穴で最も適切なのはどれか。
「33歳の男性。主訴は上腹部の不快感。連日、飲食の不摂生が続き、悪心、嘔吐がみられる。腹部膨満、噯気、口臭を伴う。舌は厚苔、脈は滑実を認める。」",膻　中,梁　門,帯　脈,肓　兪,2,
東洋医学臨床論,30,"次の文で示す病証に対する治療穴で最も適切なのはどれか。
「46歳の女性。昨晩急なめまい発作があった。最近怒りっぽくなり、胸脇部の張り感がある。脈は弦を認める。」",地　機,中　都,水　泉,金　門,2,
東洋医学臨床論,30,"「60歳の男性。主訴は足のむくみ。近医で乏尿ではないが、尿量が少ないと指摘された。残尿感はない。下痢しやすい。舌は胖嫩、歯痕、白厚膩苔、脈は滑を認める。」
適切な治療穴はどれか。",尺側手根屈筋腱の橈側縁、手関節掌側横紋の上方1寸,第1中足骨底内側の遠位陥凹部、赤白肉際,脛骨内側面の中央、内果尖の上方5寸,腓腹筋外側頭下縁とアキレス腱の間、崑崙の上方7寸,2,
東洋医学臨床論,30,"次の文で示す病証で随伴症状として最もみられるのはどれか。
「27歳の男性。主訴は便秘。暑がりでよく汗をかき、便は硬く乾燥している。腹部膨満、口臭、顔面紅潮を伴う。舌は紅、黄燥苔、脈は実を認める。」",脱　肛,煩　躁,口　淡,小便清長,2,
東洋医学臨床論,30,"「25歳の男性。3か月前から膨満感を伴う上腹部痛、嘔気が続く。症状はストレスで増悪、噯気で軽快する。下痢はない。舌は薄黄苔、脈は弦を認める。
上腹部痛の性質として最も適切なのはどれか。",酸　痛,脹　痛,重　痛,隠　痛,2,
東洋医学臨床論,30,"「32歳の女性。主訴は月経時の下腹部および腰の痛み。主訴の部位と手足の冷えを伴い、温めると改善する。月経血は暗紫色で血塊が混じる。婦人科では機能性月経困難症と診断された。」
最もみられる脈状はどれか。",浮　緊,滑　数,遅　濇,細無力,3,
東洋医学臨床論,30,"次の文で示す経脈病証で障害されている経脈の同名経を施術する場合、最も適切な治療穴はどれか。
「72歳の男性。3日前から急に腰が痛くなり、身体を反らすことができなくなった。陰嚢の脹痛、胸痛、遺尿もみられる。」",霊　道,陽　谷,支　溝,間　使,4,
東洋医学臨床論,30,透熱灸を避けるべき経穴はどれか。,百　会,巨　髎,天　柱,角　孫,2,
東洋医学臨床論,30,"次の文で示す刺法はどれか。
「寒気の浅いとき、皮膚をつまんで引っ張りこれを刺す。」",直鍼刺,斉　刺,傍鍼刺,揚　刺,1,
東洋医学臨床論,30,"「32歳の女性。主訴は月経時の下腹部および腰の痛み。主訴の部位と手足の冷えを伴い、温めると改善する。月経血は暗紫色で血塊が混じる。婦人科では機能性月経困難症と診断された。」
デルマトームを考慮した治療を行う場合、最も適切な経穴はどれか。",臑　兪,腎　兪,足三里,三陰交,2,
東洋医学臨床論,30,"次の文で示す病証に対する経脈を考慮した治療穴として最も適切なのはどれか。
「65歳の男性。2日前に新型コロナワクチン接種を受けたところ、肩を外転すると強い痛みを自覚する。悪寒、発熱、頭痛はない。肩の屈曲、伸展痛もない。」",魚　際,天　泉,液　門,前　谷,3,
東洋医学臨床論,31,医療面接の態度について最も適切なのはどれか。,患者の正面に座る。,患者の話を共感的に聴く。,導入は閉ざされた質問から行う。,アドヒアランスよりコンプライアンスを目指す。,2,
東洋医学臨床論,31,腰椎前弯の増強を改善する目的で行う体操はどれか。,コッドマン体操,バージャー体操,フレンケル体操,ウイリアムス体操,4,
東洋医学臨床論,31,左手中指のしびれを訴える患者に第6・第7頚椎棘突起間の左外方に刺鍼し症状が改善した。本症例の検査所見として最も適切なのはどれか。,ファレンテスト陽性,上腕三頭筋反射減弱,中指伸展テスト陽性,エデンテスト陽性,2,
東洋医学臨床論,31,"次の文で示す症例で障害神経根として最も適切なのはどれか。
「45歳の男性。荷物の搬送中に腰に激痛が走り、右下肢に痛みが生じている。近医にて腰椎椎間板ヘルニアと診断された。しゃがんだ状態から立ち上がる際に右膝の力が入らない。」",L4,L5,S1,S2,1,
東洋医学臨床論,31,上後腸骨棘と大転子近位端を結んだ中点から垂直下方に1～2横指下がったところを局所刺鍼点とすべき疾患で、陽性となる徒手検査法として最も適切なのはどれか。,エリーテスト,パトリックテスト,フライバーグテスト,ボンネットテスト,3,
東洋医学臨床論,31,アレルギー性鼻炎について正しいのはどれか。,他のアレルギー疾患は随伴しない。,粘膜性の鼻汁がみられる。,片側性鼻閉が主となる。,鼻腔内の痒みを認めることが多い。,4,
東洋医学臨床論,31,末梢神経麻痺における罹患神経と麻痺筋の組合せで正しいのはどれか。,橈骨神経　-----　円回内筋,正中神経　-----　母指内転筋,尺骨神経　------　掌側骨間筋,肩甲上神経　------　僧帽筋,3,
東洋医学臨床論,31,糖尿病性末梢神経障害に特徴的な所見はどれか。,両側内果の振動感覚低下,宙吊り型の解離性感覚障害,下肢から上行性に広がる弛緩性麻痺,しびれより筋力低下が顕著な上肢の障害,1,
東洋医学臨床論,31,"次の文で示す症例で将来起こりうる徴候はどれか。
「生後6か月の乳児。仰臥位で寝かせたときに右の大腿皮膚溝が左と比べて数が多く、深く、右股関節の開排制限もある。」",アリス徴候,ガワーズ徴候,レルミット徴候,ロンベルグ徴候,1,
東洋医学臨床論,31,高齢者に対する評価法とその内容の組合せで最も適切なのはどれか。,タイムドアップアンドゴーテスト　-----　主観的QOL,ファンクショナルリーチテスト　-----　ADL,バーセル・インデックス　-----　立位動的バランスの状態,ロコモ度テスト　------　年齢相応の移動能力,4,
東洋医学臨床論,31,"次の文で示す症例で考えられる疾患はどれか。
「65歳の女性。軽度の肥満。主訴は膝痛。膝の内側が動作開始時や疲労時に痛む。膝のロッキングはみられない。」",腸脛靭帯炎,内側滑膜ひだ障害（タナ障害）,変形性膝関節症,膝蓋靭帯炎,3,
東洋医学臨床論,31,"次の文で示す症例で障害筋への局所治療穴として最も適切なのはどれか。
「53歳の男性。最近、長時間歩くと、足がつる。今朝は、ウォーキング中に母指が屈曲するけいれんとともに下腿後面の深部に疼痛が生じたが、しばらく休むと軽快した。」",飛　陽,膝　関,合　陽,外　丘,1,
東洋医学臨床論,31,詐病が疑われる腰痛疾患に対して、坐位で膝を他動的に伸展させるのはどれか。,ケンプ徴候,サギング徴候,フリップ徴候,ブラガ―ドテスト,3,
東洋医学臨床論,31,こめかみがズキズキする頭痛に対して九刺の遠道刺を用いて治療する場合、最も適切な経穴はどれか。,頷　厭,太　陽,合　谷,陽陵泉,4,
東洋医学臨床論,31,命門火衰により冷えを訴える患者に対し、臓腑を考慮して施灸する場合、最も適切な経穴はどれか。,太　淵,神　門,太　渓,衝　陽,3,
東洋医学臨床論,31,"次の文で示す病証が進行した場合、みられやすい症状はどれか。
「39歳の女性。主訴は眼精疲労。長時間のデスクワークで目がかすむ。日頃から眠りが浅く、爪の色が悪い。舌苔は薄白、脈は細数を帯びてきた。」",消　渇,盗　汗,厭　食,譫　語,2,
東洋医学臨床論,31,"次の文で示す病証で最も適切なのはどれか。
「31歳の男性。主訴は悪心・嘔吐。業務の繁忙とともに食欲がなくなり、上腹部の膨満感、胸脇部の脹痛を自覚するようになった。精神的な緊張によって噯気が頻回に起こる。脈は弦を認める。」",気虚証,気陥症,気脱症,気逆症,4,
東洋医学臨床論,31,"次の文で示す病証に対する治療方針として最も適切なのはどれか。
「49歳の男性。主訴は食欲不振。空腹感はあるが多くは食べられない。胃脘部に我慢できる程度のはっきりしない痛みがある。舌質は紅を認める。」",陰液を補う。,陽気を補う。,気滞を除く。,湿熱を除く。,1,
東洋医学臨床論,31,"次の文で示す臓腑病証に対し、その郄穴に迎随の補瀉に基づき斜刺する場合、鍼尖の方向にある経穴として適切なのはどれか。
「30歳の男性。3日前に愛車に落書きをされて怒りが収まらず、顔面の痛みとのぼせも出てきた。夜も眠れず目が赤い。舌質は紅、脈は弦数を認める。」",蠡　溝,膝　関,承　山,条　口,1,
東洋医学臨床論,31,"次の文で示す病証でみられる痛みの性質はどれか。
「53歳の男性。主訴は肩関節痛。過労により食欲減退が続き、倦怠感とともに肩が痛みだした。痛みは慢性に経過し、息切れ、自汗を伴う。舌質は淡、舌苔は薄白、脈は細弱を認める。」",隠　痛,刺　痛,脹　痛,重　痛,1,
東洋医学臨床論,31,膀胱湿熱でみられるのはどれか。,遺　尿,癃　閉,余　瀝,小便自利,2,
